"Belegnummer","Datum","Betrag","MwSt. Schlüssel","Soll","Haben","Nutzerdetails","Systemdetails"
"0","2018-01-16","-738,75","0","3845","1800","34/484/00779 Umsatzsteuer 2016","3845 Umsatzsteuer frühere Jahre [EUR 738,75] <-- 1800 Bank [EUR 738,75]"
"33","2018-01-16","+207,10","8","1600","4300","Taxischicht im Pflichtfahrgebiet","1600 Kasse [EUR 207,10] <-- 4300 Erlöse 7% USt. [EUR 193,55], 3801 [EUR 13,55]"
"34","2018-01-16","+6,10","8","1600","4300","Trinkgeld aus einer Taxischicht","1600 Kasse [EUR 6,10] <-- 4300 Erlöse 7% USt. [EUR 5,70], 3801 [EUR 0,40]"
"35","2018-01-16","-100,00","0","1460","1600","Einzahlungsbeleg","1460 Geldtransit [EUR 100,00] <-- 1600 Kasse [EUR 100,00]"
"36","2018-01-16","-50,00","0","2100","1600","Eigenbeleg über Privatentnahme","2100 Privatentnahmen allgemein [EUR 50,00] <-- 1600 Kasse [EUR 50,00]"
"37","2018-01-16","-36,80","0","26401","1600","mytaxi-Kartenzahlungen (Debitor)","26401 Bargeldlose Zahlungen myTaxi [EUR 36,80] <-- 1600 Kasse [EUR 36,80]"
"0","2018-01-17","+100,00","0","1800","1460","Einzahlungsbeleg","1800 Bank [EUR 100,00] <-- 1460 Geldtransit [EUR 100,00]"
"0","2018-01-17","+200,00","0","1800","1460","Einzahlungsbeleg","1800 Bank [EUR 200,00] <-- 1460 Geldtransit [EUR 200,00]"
"0","2018-01-17","-5,04","9","5906","1800","Q-Park Taxisammelplatz Flughafen Tegel (TXL)","5906 Fremdleistungen 19% Vorsteuer [EUR 4,24], 1406 [EUR 0,80] <-- 1800 Bank [EUR 5,04]"
"38","2018-01-17","+6,70","8","1600","4300","Trinkgeld aus einer Taxischicht","1600 Kasse [EUR 6,70] <-- 4300 Erlöse 7% USt. [EUR 6,26], 3801 [EUR 0,44]"
"39","2018-01-17","+177,80","8","1600","4300","Taxischicht im Pflichtfahrgebiet","1600 Kasse [EUR 177,80] <-- 4300 Erlöse 7% USt. [EUR 166,17], 3801 [EUR 11,63]"
"40","2018-01-17","-100,00","0","1460","1600","Einzahlungsbeleg","1460 Geldtransit [EUR 100,00] <-- 1600 Kasse [EUR 100,00]"
"41","2018-01-17","-200,00","0","1460","1600","Einzahlungsbeleg","1460 Geldtransit [EUR 200,00] <-- 1600 Kasse [EUR 200,00]"
"0","2018-01-18","+106,93","0","1800","26400","Sumup-Kartenzahlungen (Auszahlung)","1800 Bank [EUR 106,93] <-- 26400 Bargeldlose Zahlungen SumUp [EUR 106,93]"
"0","2018-01-18","-19,99","0","6400","1800","Taxiunfallversicherung Zurich Insurance","6400 Versicherungen [EUR 19,99] <-- 1800 Bank [EUR 19,99]"
"42","2018-01-18","+40,90","8","1600","4300","Taxischicht im Pflichtfahrgebiet","1600 Kasse [EUR 40,90] <-- 4300 Erlöse 7% USt. [EUR 38,22], 3801 [EUR 2,68]"
"43","2018-01-18","+2,60","8","1600","4300","Trinkgeld aus einer Taxischicht","1600 Kasse [EUR 2,60] <-- 4300 Erlöse 7% USt. [EUR 2,43], 3801 [EUR 0,17]"
"44","2018-01-18","-10,00","0","2100","1600","Eigenbeleg über Privatentnahme","2100 Privatentnahmen allgemein [EUR 10,00] <-- 1600 Kasse [EUR 10,00]"
"0","2018-01-19","44,99","9","5400","2100","Taxivermittlung Geräthalterung","5400 Wareneingang 19% Vorsteuer [EUR 37,81], 1406 [EUR 7,18] <-- 2100 Privatentnahmen allgemein [EUR 44,99]"
"0","2018-01-19","+6,32","0","1800","26400","Sumup-Kartenzahlungen (Auszahlung)","1800 Bank [EUR 6,32] <-- 26400 Bargeldlose Zahlungen SumUp [EUR 6,32]"
"0","2018-01-19","+27,73","0","1800","26401","mytaxi-Kartenzahlungen (Auszahlung)","1800 Bank [EUR 27,73] <-- 26401 Bargeldlose Zahlungen myTaxi [EUR 27,73]"
"0","2018-01-22","-3,90","9","5906","1800","Vodafone Mobilfunk","5906 Fremdleistungen 19% Vorsteuer [EUR 3,28], 1406 [EUR 0,62] <-- 1800 Bank [EUR 3,90]"
"0","2018-01-22","-14,65","0","2100","1800","Strom Wohnung Lehrter Str. 8, 10557 Berlin","2100 Privatentnahmen allgemein [EUR 14,65] <-- 1800 Bank [EUR 14,65]"
"0","2018-01-22","-36,00","9","5906","1800","Vodafone Mobilfunk","5906 Fremdleistungen 19% Vorsteuer [EUR 30,25], 1406 [EUR 5,75] <-- 1800 Bank [EUR 36,00]"
"45","2018-01-22","+112,90","8","1600","4300","Taxischicht im Pflichtfahrgebiet","1600 Kasse [EUR 112,90] <-- 4300 Erlöse 7% USt. [EUR 105,51], 3801 [EUR 7,39]"
"46","2018-01-22","+3,50","8","1600","4300","Trinkgeld aus einer Taxischicht","1600 Kasse [EUR 3,50] <-- 4300 Erlöse 7% USt. [EUR 3,27], 3801 [EUR 0,23]"
"0","2018-01-23","-7,74","9","7810","26401","mytaxi-Kartenzahlungen (Gebühr)","7810 Auftragsvermittlung myTaxi [EUR 6,50], 1406 [EUR 1,24] <-- 26401 Bargeldlose Zahlungen myTaxi [EUR 7,74]"
"0","2018-01-23","-7,50","0","6855","1800","Bankgebühr","6855 Nebenkosten des Geldverkehrs [EUR 7,50] <-- 1800 Bank [EUR 7,50]"
"0","2018-01-23","-86,37","0","6400","1800","Rechtsschutz Taxi B-E4305 / Zurich","6400 Versicherungen [EUR 86,37] <-- 1800 Bank [EUR 86,37]"
"47","2018-01-23","+30,40","8","1600","4300","Taxischicht im Pflichtfahrgebiet","1600 Kasse [EUR 30,40] <-- 4300 Erlöse 7% USt. [EUR 28,41], 3801 [EUR 1,99]"
"48","2018-01-23","-10,00","0","2100","1600","Eigenbeleg über Privatentnahme","2100 Privatentnahmen allgemein [EUR 10,00] <-- 1600 Kasse [EUR 10,00]"
"49","2018-01-23","-82,50","0","26401","1600","mytaxi-Kartenzahlungen (Debitor)","26401 Bargeldlose Zahlungen myTaxi [EUR 82,50] <-- 1600 Kasse [EUR 82,50]"
"0","2018-01-24","+17,04","0","1800","26400","Sumup-Kartenzahlungen (Auszahlung)","1800 Bank [EUR 17,04] <-- 26400 Bargeldlose Zahlungen SumUp [EUR 17,04]"
"50","2018-01-24","+68,40","8","1600","4300","Taxischicht im Pflichtfahrgebiet","1600 Kasse [EUR 68,40] <-- 4300 Erlöse 7% USt. [EUR 63,93], 3801 [EUR 4,47]"
"51","2018-01-24","+2,80","8","1600","4300","Trinkgeld aus einer Taxischicht","1600 Kasse [EUR 2,80] <-- 4300 Erlöse 7% USt. [EUR 2,62], 3801 [EUR 0,18]"
"52","2018-01-24","-20,00","0","2100","1600","Eigenbeleg über Privatentnahme","2100 Privatentnahmen allgemein [EUR 20,00] <-- 1600 Kasse [EUR 20,00]"
"0","2018-01-25","+74,76","0","1800","26401","mytaxi-Kartenzahlungen (Auszahlung)","1800 Bank [EUR 74,76] <-- 26401 Bargeldlose Zahlungen myTaxi [EUR 74,76]"
"0","2018-01-26","+25,97","0","1800","26400","Sumup-Kartenzahlungen (Auszahlung)","1800 Bank [EUR 25,97] <-- 26400 Bargeldlose Zahlungen SumUp [EUR 25,97]"
"53","2018-01-26","+109,40","8","1600","4300","Taxischicht im Pflichtfahrgebiet","1600 Kasse [EUR 109,40] <-- 4300 Erlöse 7% USt. [EUR 102,24], 3801 [EUR 7,16]"
"54","2018-01-26","+4,40","8","1600","4300","Trinkgeld aus einer Taxischicht","1600 Kasse [EUR 4,40] <-- 4300 Erlöse 7% USt. [EUR 4,11], 3801 [EUR 0,29]"
"0","2018-01-27","67,00","0","6673","2100","Abholung Taxi B-E4305","6673 Reisekosten Unternehmer Fahrtkosten [EUR 67,00] <-- 2100 Privatentnahmen allgemein [EUR 67,00]"
"55","2018-01-27","+98,00","8","1600","4300","Taxischicht im Pflichtfahrgebiet","1600 Kasse [EUR 98,00] <-- 4300 Erlöse 7% USt. [EUR 91,59], 3801 [EUR 6,41]"
"56","2018-01-27","+3,50","8","1600","4300","Trinkgeld aus einer Taxischicht","1600 Kasse [EUR 3,50] <-- 4300 Erlöse 7% USt. [EUR 3,27], 3801 [EUR 0,23]"
"57","2018-01-27","-50,00","0","2100","1600","Eigenbeleg über Privatentnahme","2100 Privatentnahmen allgemein [EUR 50,00] <-- 1600 Kasse [EUR 50,00]"
"0","2018-01-28","5,76","0","6495","2100","Datensicherung / GitHub.com","6495 Wartungskosten für Hard- und Software [EUR 5,76] <-- 2100 Privatentnahmen allgemein [EUR 5,76]"
"58","2018-01-28","-40,00","0","2100","1600","Eigenbeleg über Privatentnahme","2100 Privatentnahmen allgemein [EUR 40,00] <-- 1600 Kasse [EUR 40,00]"
"0","2018-01-29","+200,00","0","1800","1460","Einzahlungsbeleg","1800 Bank [EUR 200,00] <-- 1460 Geldtransit [EUR 200,00]"
"0","2018-01-29","+100,00","0","1800","1460","Einzahlungsbeleg","1800 Bank [EUR 100,00] <-- 1460 Geldtransit [EUR 100,00]"
"59","2018-01-29","+209,40","8","1600","4300","Taxischicht im Pflichtfahrgebiet","1600 Kasse [EUR 209,40] <-- 4300 Erlöse 7% USt. [EUR 195,70], 3801 [EUR 13,70]"
"60","2018-01-29","+8,90","8","1600","4300","Trinkgeld aus einer Taxischicht","1600 Kasse [EUR 8,90] <-- 4300 Erlöse 7% USt. [EUR 8,32], 3801 [EUR 0,58]"
"61","2018-01-29","-5,00","8","4300","1600","Fehlfahrt","4300 Erlöse 7% USt. [EUR 4,67], 3801 [EUR 0,33] <-- 1600 Kasse [EUR 5,00]"
"62","2018-01-29","-100,00","0","1460","1600","Einzahlungsbeleg","1460 Geldtransit [EUR 100,00] <-- 1600 Kasse [EUR 100,00]"
"63","2018-01-29","-200,00","0","1460","1600","Einzahlungsbeleg","1460 Geldtransit [EUR 200,00] <-- 1600 Kasse [EUR 200,00]"
"0","2018-01-30","+185,00","0","1800","1460","Einzahlungsbeleg","1800 Bank [EUR 185,00] <-- 1460 Geldtransit [EUR 185,00]"
"0","2018-01-30","+16,84","0","1800","26400","Sumup-Kartenzahlungen (Auszahlung)","1800 Bank [EUR 16,84] <-- 26400 Bargeldlose Zahlungen SumUp [EUR 16,84]"
"0","2018-01-30","-6,54","9","5906","1800","Fiskaltaxameter / Datencenter","5906 Fremdleistungen 19% Vorsteuer [EUR 5,50], 1406 [EUR 1,04] <-- 1800 Bank [EUR 6,54]"
"0","2018-01-30","-47,00","0","2100","1800","Zurich Kfz-Versicherung B-IQ975 / Privatfahrzeug","2100 Privatentnahmen allgemein [EUR 47,00] <-- 1800 Bank [EUR 47,00]"
"64","2018-01-30","+71,00","8","1600","4300","Taxischicht im Pflichtfahrgebiet","1600 Kasse [EUR 71,00] <-- 4300 Erlöse 7% USt. [EUR 66,36], 3801 [EUR 4,64]"
"65","2018-01-30","+3,50","8","1600","4300","Trinkgeld aus einer Taxischicht","1600 Kasse [EUR 3,50] <-- 4300 Erlöse 7% USt. [EUR 3,27], 3801 [EUR 0,23]"
"66","2018-01-30","-185,00","0","1460","1600","Einzahlungsbeleg","1460 Geldtransit [EUR 185,00] <-- 1600 Kasse [EUR 185,00]"
"0","2018-01-31","-6,25","0","6855","26400","Sumup-Kartenzahlungen (Gebühr)","6855 Nebenkosten des Geldverkehrs [EUR 6,25] <-- 26400 Bargeldlose Zahlungen SumUp [EUR 6,25]"
"0","2018-01-31","-11,72","9","7810","26401","mytaxi-Kartenzahlungen (Gebühr)","7810 Auftragsvermittlung myTaxi [EUR 9,85], 1406 [EUR 1,87] <-- 26401 Bargeldlose Zahlungen myTaxi [EUR 11,72]"
"0","2018-01-31","+14,86","0","1800","26400","Sumup-Kartenzahlungen (Auszahlung)","1800 Bank [EUR 14,86] <-- 26400 Bargeldlose Zahlungen SumUp [EUR 14,86]"
"0","2018-01-31","-63,81","9","5400","1800","Diesel / TotalCard","5400 Wareneingang 19% Vorsteuer [EUR 51,69], 1406 [EUR 12,12] <-- 1800 Bank [EUR 63,81]"
"0","2018-01-31","-6,16","9","5906","1800","Q-Park Taxisammelplatz Flughafen Tegel (TXL)","5906 Fremdleistungen 19% Vorsteuer [EUR 5,18], 1406 [EUR 0,98] <-- 1800 Bank [EUR 6,16]"
"0","2018-01-31","-6,33","9","5906","1800","Taxiwäsche / TotalCard","5906 Fremdleistungen 19% Vorsteuer [EUR 5,13], 1406 [EUR 1,20] <-- 1800 Bank [EUR 6,33]"
"0","2018-01-31","-94,01","9","5906","1800","Coworkingspace / Bürobedarf","5906 Fremdleistungen 19% Vorsteuer [EUR 79,00], 1406 [EUR 15,01] <-- 1800 Bank [EUR 94,01]"
"0","2018-01-31","-500,00","0","2100","1800","Kreditkarte Visa / Landesbank Berlin","2100 Privatentnahmen allgemein [EUR 500,00] <-- 1800 Bank [EUR 500,00]"
"67","2018-01-31","+153,50","8","1600","4300","Taxischicht im Pflichtfahrgebiet","1600 Kasse [EUR 153,50] <-- 4300 Erlöse 7% USt. [EUR 143,46], 3801 [EUR 10,04]"
"68","2018-01-31","+4,60","8","1600","4300","Trinkgeld aus einer Taxischicht","1600 Kasse [EUR 4,60] <-- 4300 Erlöse 7% USt. [EUR 4,30], 3801 [EUR 0,30]"
"69","2018-01-31","-331,40","0","26400","1600","Sumup-Kartenzahlungen (Debitor)","26400 Bargeldlose Zahlungen SumUp [EUR 331,40] <-- 1600 Kasse [EUR 331,40]"
"70","2018-01-31","-28,90","0","26401","1600","mytaxi-Kartenzahlungen (Debitor)","26401 Bargeldlose Zahlungen myTaxi [EUR 28,90] <-- 1600 Kasse [EUR 28,90]"
"71","2018-01-31","-50,00","0","2100","1600","Eigenbeleg über Privatentnahme","2100 Privatentnahmen allgemein [EUR 50,00] <-- 1600 Kasse [EUR 50,00]"
"72","2018-01-31","-209,21","0","2100","1600","Privatentnahme am Monatsende","2100 Privatentnahmen allgemein [EUR 209,21] <-- 1600 Kasse [EUR 209,21]"
"0","2018-02-01","+100,00","0","1800","1460","Einzahlungsbeleg","1800 Bank [EUR 100,00] <-- 1460 Geldtransit [EUR 100,00]"
"1","2018-02-01","+87,00","8","1600","4300","Taxischicht im Pflichtfahrgebiet","1600 Kasse [EUR 87,00] <-- 4300 Erlöse 7% USt. [EUR 81,31], 3801 [EUR 5,69]"
"2","2018-02-01","+2,30","8","1600","4300","Trinkgeld aus einer Taxischicht","1600 Kasse [EUR 2,30] <-- 4300 Erlöse 7% USt. [EUR 2,15], 3801 [EUR 0,15]"
"3","2018-02-01","-100,00","0","1460","1600","Einzahlungsbeleg","1460 Geldtransit [EUR 100,00] <-- 1600 Kasse [EUR 100,00]"
"4","2018-02-01","-10,00","0","2100","1600","Eigenbeleg über Privatentnahme","2100 Privatentnahmen allgemein [EUR 10,00] <-- 1600 Kasse [EUR 10,00]"
"0","2018-02-02","+17,18","0","1800","26401","mytaxi-Kartenzahlungen (Auszahlung)","1800 Bank [EUR 17,18] <-- 26401 Bargeldlose Zahlungen myTaxi [EUR 17,18]"
"5","2018-02-02","+98,60","8","1600","4300","Taxischicht im Pflichtfahrgebiet","1600 Kasse [EUR 98,60] <-- 4300 Erlöse 7% USt. [EUR 92,15], 3801 [EUR 6,45]"
"6","2018-02-02","+4,40","8","1600","4300","Trinkgeld aus einer Taxischicht","1600 Kasse [EUR 4,40] <-- 4300 Erlöse 7% USt. [EUR 4,11], 3801 [EUR 0,29]"
"0","2018-02-03","7,30","0","6495","2100","Entwicklungseditor / JetBrains","6495 Wartungskosten für Hard- und Software [EUR 7,30] <-- 2100 Privatentnahmen allgemein [EUR 7,30]"
"7","2018-02-03","+89,30","8","1600","4300","Taxischicht im Pflichtfahrgebiet","1600 Kasse [EUR 89,30] <-- 4300 Erlöse 7% USt. [EUR 83,46], 3801 [EUR 5,84]"
"8","2018-02-03","+3,70","8","1600","4300","Trinkgeld aus einer Taxischicht","1600 Kasse [EUR 3,70] <-- 4300 Erlöse 7% USt. [EUR 3,46], 3801 [EUR 0,24]"
"9","2018-02-03","-50,00","0","2100","1600","Eigenbeleg über Privatentnahme","2100 Privatentnahmen allgemein [EUR 50,00] <-- 1600 Kasse [EUR 50,00]"
"10","2018-02-04","+47,20","8","1600","4300","Taxischicht im Pflichtfahrgebiet","1600 Kasse [EUR 47,20] <-- 4300 Erlöse 7% USt. [EUR 44,11], 3801 [EUR 3,09]"
"11","2018-02-04","+1,60","8","1600","4300","Trinkgeld aus einer Taxischicht","1600 Kasse [EUR 1,60] <-- 4300 Erlöse 7% USt. [EUR 1,50], 3801 [EUR 0,10]"
"12","2018-02-04","-20,00","0","2100","1600","Eigenbeleg über Privatentnahme","2100 Privatentnahmen allgemein [EUR 20,00] <-- 1600 Kasse [EUR 20,00]"
